Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
PON2,0.9999,1.2564,1.1742,0.933,0.6982,0.5493,0.442,0.2902,0.1956,0.0
PPP2CA,0.9999,1.6397,1.598,1.0904,0.7539,0.5651,0.6577,0.5782,0.3044,0.0
PRCP,0.9999,1.6354,1.766,1.3112,1.1697,0.9318,1.2104,1.5627,2.007,0.0
PRNP,0.9999,0.9517,0.9021,0.9119,1.0907,0.9958,1.0027,0.8304,0.8675,0.0
PROCR,0.9999,0.9684,0.9681,0.7814,0.7506,0.6433,0.5944,0.476,0.3279,0.0
PRPS2,0.9999,1.3948,1.3665,1.0111,1.0343,0.7545,0.7642,0.1365,0.1613,0.0
PSMA4,0.9999,1.4078,1.1793,0.5637,0.5686,0.5746,0.785,0.8672,1.0839,0.0
PTK2B,0.9999,1.2299,0.5513,0.1877,0.1265,0.1023,0.0908,0.0004,0.01,0.0
PTPRA,0.9999,0.9949,0.9199,0.3902,0.0636,0.037,0.0355,0.0602,0.0621,0.0
PTPRC,0.9999,0.9976,0.9611,0.8749,0.6201,0.2466,0.0681,0.0601,0.0678,0.0
PTPRG,0.9999,1.0704,1.1013,0.5856,0.4353,0.3577,0.3575,0.2399,0.2774,0.0
PTPRJ,0.9999,1.0554,0.8173,0.3127,0.1892,0.1369,0.139,0.1561,0.2017,0.0
PVR,0.9999,1.0436,0.9663,0.9468,0.8472,0.7657,0.7043,0.651,0.6355,0.0
